Start time:, 1647326490246660860
End time:, 1647326490272696927
Total time:, 26036067

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
CigaretteSmoker, 0, 1, 5320, 0.020433, 5320, 5320, 5320
arbiter, 0, 12, 30066, 0.115478, 2505, 27489, 147
arbiter, 1, 12000, 1790256, 6.876062, 149, 6227, 100
arbiter, 2, 12, 799, 0.003069, 66, 171, 39
arbiter, 3, 1, 146, 0.000561, 146, 146, 146
runner, 0, 1, 43869, 0.168493, 43869, 43869, 43869
runner, 1, 13, 1601, 0.006149, 123, 360, 70
runner, 2, 12, 26922, 0.103403, 2243, 18916, 586
runner, 3, 1, 2343, 0.008999, 2343, 2343, 2343
smokers, 0, 144, 147511, 0.566564, 1024, 3805, 319
smokers, 0, 84, 88431, 0.339648, 1052, 4151, 405
smokers, 0, 156, 170553, 0.655064, 1093, 4462, 257
smokers, 0, 108, 122708, 0.471300, 1136, 11464, 171
smokers, 0, 180, 218204, 0.838084, 1212, 4228, 201
smokers, 0, 132, 137905, 0.529669, 1044, 4172, 170
smokers, 0, 84, 87968, 0.337870, 1047, 4400, 257
smokers, 0, 120, 145132, 0.557427, 1209, 4552, 522
smokers, 0, 72, 76060, 0.292133, 1056, 4397, 201
smokers, 0, 168, 164868, 0.633229, 981, 4311, 170
smokers, 0, 108, 109742, 0.421500, 1016, 4068, 202
smokers, 0, 120, 142123, 0.545870, 1184, 4152, 460
smokers, 0, 108, 126951, 0.487597, 1175, 4566, 319
smokers, 0, 84, 93681, 0.359812, 1115, 4481, 287
smokers, 0, 96, 91870, 0.352857, 956, 4065, 201
smokers, 0, 108, 109417, 0.420252, 1013, 3984, 226
smokers, 0, 132, 125447, 0.481820, 950, 4231, 201
smokers, 0, 180, 223307, 0.857683, 1240, 11866, 351
smokers, 0, 144, 228550, 0.877821, 1587, 12574, 899
smokers, 0, 120, 112637, 0.432619, 938, 3345, 344
smokers, 0, 108, 120549, 0.463008, 1116, 4563, 312
smokers, 0, 156, 120912, 0.464402, 775, 3979, 171
smokers, 0, 60, 84331, 0.323901, 1405, 3894, 1016
smokers, 0, 84, 63394, 0.243485, 754, 3616, 170
smokers, 0, 120, 111705, 0.429039, 930, 4566, 201
smokers, 0, 72, 84604, 0.324949, 1175, 11835, 288
smokers, 0, 72, 46516, 0.178660, 646, 2750, 257
smokers, 0, 60, 64305, 0.246984, 1071, 3486, 171
smokers, 0, 144, 170932, 0.656520, 1187, 4581, 257
smokers, 0, 144, 160591, 0.616802, 1115, 4486, 288
smokers, 0, 120, 107518, 0.412958, 895, 3114, 256
smokers, 0, 72, 44732, 0.171808, 621, 2186, 170
smokers, 0, 192, 211019, 0.810487, 1099, 4580, 319
smokers, 0, 108, 155683, 0.597951, 1441, 4761, 171
smokers, 0, 144, 131377, 0.504596, 912, 4252, 374
smokers, 0, 60, 70466, 0.270648, 1174, 4151, 171
smokers, 0, 108, 130482, 0.501159, 1208, 4420, 436
smokers, 0, 120, 107187, 0.411687, 893, 3878, 226
smokers, 0, 108, 122107, 0.468992, 1130, 4394, 202
smokers, 0, 72, 87208, 0.334951, 1211, 3979, 405
smokers, 0, 108, 138082, 0.530349, 1278, 4566, 547
smokers, 0, 144, 130827, 0.502484, 908, 3654, 171
smokers, 0, 108, 119090, 0.457404, 1102, 4572, 201
smokers, 0, 84, 64688, 0.248455, 770, 3201, 171
smokers, 0, 96, 109181, 0.419345, 1137, 3574, 257
smokers, 0, 180, 210948, 0.810215, 1171, 4474, 405
smokers, 0, 168, 160861, 0.617839, 957, 3898, 319
smokers, 0, 84, 82920, 0.318481, 987, 3979, 288
smokers, 0, 96, 85539, 0.328540, 891, 3400, 257
smokers, 0, 108, 157704, 0.605714, 1460, 4474, 226
smokers, 0, 96, 103385, 0.397084, 1076, 4566, 319
smokers, 0, 132, 152081, 0.584117, 1152, 4323, 288
