Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, runner, 0, 0, 0, 0, 947181, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 0, 992412, runner.nextIteration, 0
Reaction ends, runner, 0, 0, 0, 0, 993035, NO TRIGGER, 0
Schedule called, dict, 0, 0, 0, 1, 1404916, dict.sendAnswers, 0
Schedule called, dict, 0, 0, 0, 2, 1549620, dict.sendAnswers, 0
Schedule called, dict, 0, 0, 0, 3, 1721169, dict.sendAnswers, 0
Reaction starts, workers, 0, 0, 0, 4, 1816474, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 4, 1820764, NO TRIGGER, 0
Schedule called, dict, 0, 0, 0, 4, 1844154, dict.sendAnswers, 0
Schedule called, dict, 0, 0, 0, 5, 1981433, dict.sendAnswers, 0
Schedule called, dict, 0, 0, 0, 6, 2110085, dict.sendAnswers, 0
Schedule called, runner, 0, 0, 0, 6, 2123379, runner.nextIteration, 0
Schedule called, dict, 0, 0, 0, 7, 2305815, dict.sendAnswers, 0
Schedule called, runner, 0, 0, 0, 7, 2314392, runner.nextIteration, 0
Reaction starts, workers, 0, 0, 0, 8, 2370553, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 8, 2371384, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 8, 2372047, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 8, 2373235, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 8, 2376416, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 8, 2377336, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 8, 2377930, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 8, 2386191, NO TRIGGER, 0
Reaction starts, manager, 1, 0, 0, 8, 2405597, NO TRIGGER, 0
Schedule called, dict, 0, 0, 0, 8, 2406748, dict.sendAnswers, 0
Reaction ends, manager, 1, 0, 0, 8, 2407333, NO TRIGGER, 0
Reaction starts, runner, 2, 0, 0, 8, 2408254, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 8, 2412762, runner.nextIteration, 0
Reaction ends, runner, 2, 0, 0, 8, 2412997, NO TRIGGER, 0
Reaction starts, runner, 1, 0, 0, 9, 2416682, NO TRIGGER, 0
Reaction ends, runner, 1, 0, 0, 9, 2416872, NO TRIGGER, 0
Reaction starts, manager, 0, 0, 0, 9, 2417176, NO TRIGGER, 0
Reaction ends, manager, 0, 0, 0, 9, 2417317, NO TRIGGER, 0
Reaction starts, dict, 0, 0, 0, 9, 2420735, NO TRIGGER, 0
Reaction ends, dict, 0, 0, 0, 9, 2421606, NO TRIGGER, 0
Reaction starts, dict, 1, 0, 0, 9, 2422037, NO TRIGGER, 0
Reaction ends, dict, 1, 0, 0, 9, 2422272, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 9, 2439663, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 9, 2440308, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 9, 2441270, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 9, 2441655, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 9, 2444230, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 9, 2446034, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 9, 2446484, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 9, 2449817, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 9, 2455323, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 9, 2456505, NO TRIGGER, 0
Schedule called, dict, 0, 0, 0, 9, 2563459, dict.sendAnswers, 0
Schedule called, runner, 0, 0, 0, 9, 2569242, runner.nextIteration, 0
Reaction starts, workers, 0, 0, 0, 10, 2630150, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 10, 2631216, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 10, 2635153, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 10, 2636843, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 10, 2637556, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 10, 2646520, NO TRIGGER, 0
Schedule called, dict, 0, 0, 0, 10, 2689237, dict.sendAnswers, 0
Schedule called, runner, 0, 0, 0, 10, 2697671, runner.nextIteration, 0
Reaction starts, workers, 0, 0, 0, 11, 2771272, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 11, 2774375, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 11, 2776982, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 11, 2790096, NO TRIGGER, 0
Schedule called, dict, 0, 0, 0, 11, 2821685, dict.sendAnswers, 0
Schedule called, runner, 0, 0, 0, 11, 2826490, runner.nextIteration, 0
Schedule called, dict, 0, 0, 0, 12, 2957068, dict.sendAnswers, 0
Schedule called, runner, 0, 0, 0, 12, 2963438, runner.nextIteration, 0
Schedule called, dict, 0, 0, 0, 13, 3084219, dict.sendAnswers, 0
Schedule called, runner, 0, 0, 0, 13, 3088915, runner.nextIteration, 0
Schedule called, dict, 0, 0, 0, 14, 3156358, dict.sendAnswers, 0
Schedule called, runner, 0, 0, 0, 14, 3162561, runner.nextIteration, 0
Schedule called, dict, 0, 0, 0, 15, 3272719, dict.sendAnswers, 0
Schedule called, runner, 0, 0, 0, 15, 3281176, runner.nextIteration, 0
Schedule called, dict, 0, 0, 0, 16, 3404605, dict.sendAnswers, 0
Reaction starts, manager, 1, 0, 0, 16, 3405221, NO TRIGGER, 0
