Start time:, 1647321633518617688
End time:, 1647321633525748750
Total time:, 7131062

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
manager, 0, 12, 2161, 0.030304, 180, 294, 120
manager, 1, 38, 29234, 0.409953, 769, 3017, 230
manager, 2, 12, 2395, 0.033585, 199, 723, 106
workers, 0, 45, 14844, 0.208160, 329, 940, 127
workers, 0, 45, 21285, 0.298483, 473, 1095, 126
workers, 0, 45, 21306, 0.298777, 473, 920, 73
workers, 0, 45, 23823, 0.334074, 529, 1484, 71
workers, 0, 45, 25643, 0.359596, 569, 1257, 81
workers, 0, 45, 23803, 0.333793, 528, 1660, 72
workers, 0, 45, 23500, 0.329544, 522, 1579, 72
workers, 0, 45, 28548, 0.400333, 634, 1546, 157
workers, 0, 45, 22937, 0.321649, 509, 1210, 71
workers, 0, 45, 26158, 0.366818, 581, 1517, 69
workers, 0, 45, 22617, 0.317162, 502, 1717, 69
workers, 0, 45, 26892, 0.377111, 597, 1514, 72
workers, 0, 45, 24475, 0.343217, 543, 1342, 98
workers, 0, 45, 25875, 0.362849, 575, 1316, 98
workers, 0, 45, 24243, 0.339963, 538, 1587, 105
workers, 0, 45, 26188, 0.367238, 581, 1596, 118
workers, 0, 45, 22321, 0.313011, 496, 1146, 124
workers, 0, 45, 21779, 0.305410, 483, 1306, 122
workers, 0, 45, 19321, 0.270941, 429, 1150, 138
workers, 0, 45, 15354, 0.215312, 341, 1270, 122
runner, 0, 1, 40007, 0.561024, 40007, 40007, 40007
runner, 1, 13, 6038, 0.084672, 464, 1107, 271
runner, 2, 12, 72503, 1.016721, 6041, 18534, 2413
runner, 3, 1, 5382, 0.075473, 5382, 5382, 5382
sorted_list, 0, 1, 1027, 0.014402, 1027, 1027, 1027
sorted_list, 1, 12, 80842, 1.133660, 6736, 16214, 3803
sorted_list, 2, 44, 31873, 0.446960, 724, 1477, 326
sorted_list, 3, 45, 679218, 9.524780, 15093, 74198, 1194
sorted_list, 4, 1, 534, 0.007488, 534, 534, 534

Schedule calls
Trigger, Occurrences
manager.finish, 12
runner.nextIteration, 13
runner.done, 1
sorted_list.send_responses, 45
