Start time:, 1647328255902809191
End time:, 1647328255928152559
Total time:, 25343368

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
NO REACTOR, 0, 1, 3708, 0.014631, 3708, 3708, 3708
runner, 0, 1, 47975, 0.189300, 47975, 47975, 47975
runner, 1, 13, 10626, 0.041928, 817, 5805, 270
runner, 2, 12, 102719, 0.405309, 8559, 22720, 4802
runner, 3, 1, 6270, 0.024740, 6270, 6270, 6270
sink, 0, 12, 1904, 0.007513, 158, 283, 68
sink, 1, 15, 21328, 0.084156, 1421, 2717, 675
worker, 0, 15, 6009, 0.023710, 400, 560, 216
worker, 2, 15, 1824742, 7.200077, 121649, 398759, 829
worker, 3, 12, 1123072, 4.431424, 93589, 658223, 674
worker, 0, 15, 5381, 0.021232, 358, 867, 130
worker, 1, 2, 1309, 0.005165, 654, 703, 606
worker, 2, 15, 2580894, 10.183706, 172059, 641476, 1116
worker, 3, 12, 1467416, 5.790138, 122284, 618898, 228
worker, 0, 15, 23161, 0.091389, 1544, 17787, 273
worker, 1, 15, 12042, 0.047515, 802, 1539, 453
worker, 2, 15, 1031774, 4.071179, 68784, 292511, 3770
worker, 3, 12, 1085430, 4.282896, 90452, 787222, 5207
worker, 0, 15, 7521, 0.029676, 501, 990, 219
worker, 1, 15, 13946, 0.055028, 929, 1547, 460
worker, 2, 15, 539306, 2.127997, 35953, 134527, 1233
worker, 3, 12, 2141659, 8.450570, 178471, 887164, 6226
worker, 0, 15, 5395, 0.021288, 359, 634, 214
worker, 1, 13, 24909, 0.098286, 1916, 14080, 359
worker, 2, 15, 1851320, 7.304949, 123421, 542467, 2111
worker, 3, 12, 647978, 2.556795, 53998, 249553, 3997
worker, 0, 15, 6258, 0.024693, 417, 708, 230
worker, 1, 15, 12133, 0.047874, 808, 1468, 311
worker, 2, 15, 2474582, 9.764219, 164972, 538867, 3272
worker, 3, 12, 1892408, 7.467074, 157700, 704283, 6773
worker, 0, 15, 5122, 0.020210, 341, 687, 127
worker, 1, 14, 14772, 0.058287, 1055, 1673, 672
worker, 2, 15, 1211027, 4.778477, 80735, 480000, 3501
worker, 3, 12, 1963544, 7.747763, 163628, 483662, 4578
worker, 0, 15, 6168, 0.024338, 411, 908, 198
worker, 1, 14, 10713, 0.042271, 765, 1240, 350
worker, 2, 15, 1111718, 4.386623, 74114, 386144, 818
worker, 3, 12, 1535162, 6.057451, 127930, 680620, 898
worker, 0, 15, 5356, 0.021134, 357, 586, 111
worker, 1, 14, 14062, 0.055486, 1004, 1470, 474
worker, 2, 15, 1534585, 6.055174, 102305, 583295, 2710
worker, 3, 12, 1485964, 5.863325, 123830, 583026, 2612
worker, 0, 15, 5302, 0.020921, 353, 456, 274
worker, 1, 2, 1558, 0.006148, 779, 1135, 423
worker, 2, 15, 1977696, 7.803604, 131846, 646729, 4350
worker, 3, 12, 2799851, 11.047667, 233320, 674604, 5170
worker, 0, 15, 6592, 0.026011, 439, 954, 206
worker, 1, 2, 1820, 0.007181, 910, 915, 905
worker, 2, 15, 2649358, 10.453851, 176623, 650004, 5230
worker, 3, 12, 2812489, 11.097534, 234374, 938571, 4559
worker, 0, 15, 4874, 0.019232, 324, 420, 213
worker, 1, 2, 1871, 0.007383, 935, 1022, 849
worker, 2, 15, 979624, 3.865406, 65308, 390708, 2645
worker, 3, 12, 2533563, 9.996947, 211130, 951937, 6446
worker, 0, 15, 19845, 0.078305, 1323, 14696, 137
worker, 1, 2, 1372, 0.005414, 686, 805, 567
worker, 2, 15, 1424072, 5.619111, 94938, 456142, 1789
worker, 3, 12, 2013997, 7.946840, 167833, 485907, 6254
worker, 0, 15, 6097, 0.024058, 406, 643, 272
worker, 1, 14, 13766, 0.054318, 983, 1511, 349
worker, 2, 15, 1611796, 6.359833, 107453, 362986, 4963
worker, 3, 12, 2783261, 10.982206, 231938, 975699, 6501
worker, 0, 15, 5706, 0.022515, 380, 616, 247
worker, 1, 14, 16208, 0.063954, 1157, 2634, 656
worker, 2, 15, 1203423, 4.748473, 80228, 339395, 3769
worker, 3, 12, 2422213, 9.557581, 201851, 730454, 7067
worker, 0, 15, 5217, 0.020585, 347, 473, 240
worker, 1, 14, 15464, 0.061018, 1104, 1802, 657
worker, 2, 15, 1935788, 7.638243, 129052, 521120, 3726
worker, 3, 12, 4237959, 16.722162, 353163, 982086, 15784
worker, 0, 15, 6904, 0.027242, 460, 1047, 254
worker, 1, 14, 11882, 0.046884, 848, 1598, 460
worker, 2, 15, 857465, 3.383390, 57164, 290410, 2006
worker, 3, 12, 2146498, 8.469664, 178874, 691536, 854
worker, 0, 15, 6425, 0.025352, 428, 705, 270
worker, 1, 14, 11444, 0.045156, 817, 1234, 436
worker, 2, 15, 743967, 2.935549, 49597, 268194, 1375
worker, 3, 12, 2280411, 8.998058, 190034, 1018701, 6306
worker, 0, 15, 6933, 0.027356, 462, 833, 210
worker, 1, 14, 15071, 0.059467, 1076, 1732, 390
worker, 2, 15, 784552, 3.095690, 52303, 297452, 4080
worker, 3, 12, 3156398, 12.454532, 263033, 1026438, 23307
worker, 0, 15, 6733, 0.026567, 448, 960, 220
worker, 1, 15, 15864, 0.062596, 1057, 1683, 338
worker, 2, 15, 2003706, 7.906234, 133580, 414821, 6395
worker, 3, 12, 2907732, 11.473345, 242311, 1052143, 8123
worker, 0, 15, 4654, 0.018364, 310, 437, 137
worker, 1, 3, 3193, 0.012599, 1064, 1603, 765
worker, 2, 15, 1186627, 4.682199, 79108, 415299, 1450
worker, 3, 12, 1070532, 4.224111, 89211, 276794, 6287
worker, 0, 15, 5833, 0.023016, 388, 966, 227
worker, 1, 3, 3910, 0.015428, 1303, 2004, 805
worker, 2, 15, 2138991, 8.440042, 142599, 566885, 985
worker, 3, 12, 2929498, 11.559229, 244124, 583018, 8161
worker, 0, 15, 5002, 0.019737, 333, 732, 190
worker, 1, 3, 2453, 0.009679, 817, 1195, 548
worker, 2, 15, 1399181, 5.520896, 93278, 335521, 3210
