Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, Throughput, 0, 0, 0, 0, 868649, NO TRIGGER, 0
Reaction ends, Throughput, 0, 0, 0, 0, 870657, NO TRIGGER, 0
Reaction starts, runner, 0, 0, 0, 0, 870874, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 0, 889970, runner.nextIteration, 0
Reaction ends, runner, 0, 0, 0, 0, 890261, NO TRIGGER, 0
Schedule called, producer, 0, 0, 0, 1, 1174548, producer.send_next_msg, 0
Reaction starts, worker, 0, 0, 0, 1, 1239142, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 1239224, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 1239465, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 1239509, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 1240285, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 1240318, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 1240502, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 1240536, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 1241314, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 1241345, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 1241522, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 1241556, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 1243052, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 1243124, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 1264894, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 1265067, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 1265633, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 1265953, NO TRIGGER, 0
Schedule called, producer, 0, 0, 0, 2, 1301881, producer.send_next_msg, 0
Reaction starts, worker, 0, 0, 0, 2, 1373345, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 2, 1373516, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 2, 1375518, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 2, 1375681, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 2, 1387804, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 2, 1388058, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 2, 1389571, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 2, 1389638, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 2, 1390020, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 2, 1393434, NO TRIGGER, 0
Schedule called, producer, 0, 0, 0, 3, 1416311, producer.send_next_msg, 0
