Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, runner, 1, 23, 0, 1, 1677436, NO TRIGGER, 0
Reaction ends, runner, 1, 23, 0, 1, 1677796, NO TRIGGER, 0
Reaction starts, arbiter, 0, 23, 0, 1, 1678265, NO TRIGGER, 0
Reaction ends, arbiter, 0, 23, 0, 1, 1705754, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 2, 1707237, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 2, 1707719, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 2, 1709098, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 2, 1710517, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 3, 1711341, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 3, 1711714, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 3, 1712991, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 3, 1713920, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 4, 1714488, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 4, 1714808, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 4, 1716066, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 4, 1718906, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 5, 1719445, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 5, 1719749, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 5, 1721018, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 5, 1722034, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 6, 1722578, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 6, 1722914, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 6, 1724189, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 6, 1726562, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 7, 1727210, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 7, 1727520, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 7, 1728776, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 7, 1730498, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 8, 1731035, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 8, 1731336, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 8, 1732544, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 8, 1735925, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 9, 1736461, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 9, 1736784, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 9, 1738021, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 9, 1739171, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 10, 1739709, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 10, 1739984, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 10, 1741216, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 10, 1741717, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 11, 1742248, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 11, 1742517, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 11, 1743746, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 11, 1745328, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 12, 1745907, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 12, 1746176, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 12, 1747400, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 12, 1749773, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 13, 1750307, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 13, 1750584, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 13, 1751787, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 13, 1752789, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 14, 1753333, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 14, 1753643, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 14, 1754885, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 14, 1757400, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 15, 1757933, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 15, 1758213, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 15, 1759347, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 15, 1761216, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 16, 1761709, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 16, 1761984, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 16, 1763221, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 16, 1765739, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 17, 1769494, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 17, 1769771, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 17, 1770958, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 17, 1774262, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 18, 1774798, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 18, 1775075, NO TRIGGER, 0
