Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, CigaretteSmoker, 0, 0, 0, 0, 212373, NO TRIGGER, 0
Reaction ends, CigaretteSmoker, 0, 0, 0, 0, 217260, NO TRIGGER, 0
Reaction starts, runner, 0, 0, 0, 0, 217710, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 0, 255844, runner.nextIteration, 0
Reaction ends, runner, 0, 0, 0, 0, 256321, NO TRIGGER, 0
Reaction starts, runner, 1, 0, 0, 1, 259027, NO TRIGGER, 0
Reaction ends, runner, 1, 0, 0, 1, 259481, NO TRIGGER, 0
Reaction starts, arbiter, 0, 0, 0, 1, 259924, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 1, 260621, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 0, 0, 0, 1, 260811, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 2, 262107, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 2, 262597, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 2, 262727, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 2, 264511, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 2, 265961, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 3, 266911, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 3, 267177, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 3, 267294, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 3, 268814, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 3, 269971, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 4, 270621, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 4, 270888, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 4, 271004, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 4, 272464, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 4, 275991, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 5, 276601, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 5, 276864, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 5, 276981, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 5, 278548, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 5, 279851, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 6, 280518, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 6, 280784, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 6, 280904, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 6, 282418, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 6, 285408, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 7, 286081, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 7, 290751, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 7, 290904, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 7, 292434, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 7, 294608, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 8, 295254, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 8, 295488, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 8, 295608, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 8, 297051, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 8, 301298, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 9, 301921, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 9, 302194, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 9, 302311, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 9, 303811, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 9, 305268, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 10, 305891, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 10, 306125, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 10, 306241, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 10, 307728, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 10, 308378, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 11, 308995, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 11, 309228, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 11, 309348, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 11, 310788, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 11, 312788, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 12, 313408, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 12, 313631, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 12, 313751, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 12, 315148, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 12, 318121, NO TRIGGER, 0
