Start time:, 1647418581875438319
End time:, 1647418581903210049
Total time:, 27771730

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
CigaretteSmoker, 0, 1, 4887, 0.017597, 4887, 4887, 4887
arbiter, 0, 12, 3444, 0.012401, 287, 887, 147
arbiter, 1, 12000, 1976122, 7.115588, 164, 17777, 100
arbiter, 2, 12, 861, 0.003100, 71, 204, 38
arbiter, 3, 1, 127, 0.000457, 127, 127, 127
runner, 0, 1, 38611, 0.139030, 38611, 38611, 38611
runner, 1, 13, 1904, 0.006856, 146, 454, 78
runner, 2, 12, 23654, 0.085173, 1971, 14587, 520
runner, 3, 1, 2634, 0.009484, 2634, 2634, 2634
smokers, 0, 144, 169894, 0.611752, 1179, 4767, 319
smokers, 0, 84, 100676, 0.362513, 1198, 4500, 405
smokers, 0, 156, 197677, 0.711792, 1267, 4810, 255
smokers, 0, 108, 137169, 0.493916, 1270, 12010, 169
smokers, 0, 180, 247489, 0.891154, 1374, 4590, 201
smokers, 0, 132, 158671, 0.571340, 1202, 4517, 170
smokers, 0, 84, 100719, 0.362667, 1199, 4817, 257
smokers, 0, 120, 165466, 0.595807, 1378, 4860, 521
smokers, 0, 72, 88931, 0.320221, 1235, 4763, 201
smokers, 0, 168, 190165, 0.684743, 1131, 4684, 170
smokers, 0, 108, 126935, 0.457066, 1175, 5960, 201
smokers, 0, 120, 158707, 0.571470, 1322, 4503, 462
smokers, 0, 108, 144209, 0.519265, 1335, 4957, 319
smokers, 0, 84, 105210, 0.378838, 1252, 4860, 287
smokers, 0, 96, 102241, 0.368148, 1065, 4410, 200
smokers, 0, 108, 120098, 0.432447, 1112, 4317, 228
smokers, 0, 132, 145014, 0.522164, 1098, 4764, 200
smokers, 0, 180, 242928, 0.874731, 1349, 4856, 345
smokers, 0, 144, 251096, 0.904142, 1743, 8123, 899
smokers, 0, 120, 131573, 0.473766, 1096, 3613, 342
smokers, 0, 108, 132918, 0.478609, 1230, 4950, 312
smokers, 0, 156, 137383, 0.494687, 880, 4317, 168
smokers, 0, 60, 96766, 0.348433, 1612, 4223, 1016
smokers, 0, 84, 84186, 0.303136, 1002, 13344, 170
smokers, 0, 120, 125441, 0.451686, 1045, 4953, 201
smokers, 0, 72, 90884, 0.327254, 1262, 4803, 287
smokers, 0, 72, 52088, 0.187558, 723, 2967, 257
smokers, 0, 60, 72883, 0.262436, 1214, 3800, 170
smokers, 0, 144, 198615, 0.715170, 1379, 4960, 256
smokers, 0, 144, 186809, 0.672659, 1297, 4866, 288
smokers, 0, 120, 122819, 0.442245, 1023, 6397, 256
smokers, 0, 72, 51467, 0.185322, 714, 2336, 170
smokers, 0, 192, 242157, 0.871955, 1261, 4947, 319
smokers, 0, 108, 174573, 0.628600, 1616, 4930, 169
smokers, 0, 144, 151903, 0.546970, 1054, 4604, 373
smokers, 0, 60, 77656, 0.279622, 1294, 4503, 171
smokers, 0, 108, 156560, 0.563739, 1449, 6534, 430
smokers, 0, 120, 124090, 0.446821, 1034, 5394, 227
smokers, 0, 108, 139476, 0.502223, 1291, 4764, 201
smokers, 0, 72, 99288, 0.357515, 1379, 4336, 405
smokers, 0, 108, 157281, 0.566335, 1456, 4943, 555
smokers, 0, 144, 146527, 0.527612, 1017, 3967, 171
smokers, 0, 108, 132592, 0.477435, 1227, 4980, 202
smokers, 0, 84, 74690, 0.268943, 889, 3430, 170
smokers, 0, 96, 128444, 0.462499, 1337, 4984, 257
smokers, 0, 180, 245576, 0.884266, 1364, 4861, 405
smokers, 0, 168, 187425, 0.674877, 1115, 5260, 317
smokers, 0, 84, 95494, 0.343853, 1136, 4513, 287
smokers, 0, 96, 99221, 0.357273, 1033, 3690, 257
smokers, 0, 108, 180495, 0.649924, 1671, 4883, 225
smokers, 0, 96, 119433, 0.430052, 1244, 7324, 319
smokers, 0, 132, 176088, 0.634055, 1334, 4691, 288
smokers, 0, 132, 188629, 0.679212, 1429, 4950, 373
smokers, 0, 144, 167513, 0.603178, 1163, 4857, 343
