Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Schedule called, runner, 0, 0, 0, 0, 278894, runner.nextIteration, 0
Reaction starts, workers, 0, 0, 0, 1, 325393, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 1, 390790, NO TRIGGER, 0
Reaction starts, dict, 2, 0, 0, 1, 403220, NO TRIGGER, 0
Schedule called, dict, 0, 0, 0, 1, 414244, dict.sendAnswers, 0
Reaction ends, dict, 2, 0, 0, 1, 414591, NO TRIGGER, 0
Reaction starts, runner, 2, 0, 0, 1, 415557, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 1, 430387, runner.nextIteration, 0
Reaction ends, runner, 2, 0, 0, 1, 430551, NO TRIGGER, 0
Reaction starts, runner, 1, 0, 0, 2, 435734, NO TRIGGER, 0
Reaction ends, runner, 1, 0, 0, 2, 436047, NO TRIGGER, 0
Reaction starts, manager, 0, 0, 0, 2, 436414, NO TRIGGER, 0
Reaction ends, manager, 0, 0, 0, 2, 436604, NO TRIGGER, 0
Reaction starts, dict, 0, 0, 0, 2, 439661, NO TRIGGER, 0
Reaction ends, dict, 0, 0, 0, 2, 443261, NO TRIGGER, 0
Reaction starts, dict, 1, 0, 0, 2, 443588, NO TRIGGER, 0
Reaction ends, dict, 1, 0, 0, 2, 443871, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 2, 452384, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 2, 452901, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 2, 453581, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 2, 453915, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 2, 454415, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 2, 454801, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 2, 455121, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 2, 455525, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 2, 459678, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 2, 462505, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 2, 463415, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 2, 466538, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 2, 470085, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 2, 475725, NO TRIGGER, 0
Reaction starts, manager, 1, 0, 0, 2, 486055, NO TRIGGER, 0
Schedule called, dict, 0, 0, 0, 2, 486940, dict.sendAnswers, 0
Reaction starts, NO REACTOR, 0, 0, -1647416854921849674, 0, -1647416854921849674, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 2, 493962, runner.nextIteration, 0
Reaction starts, workers, 0, 0, 0, 3, 520286, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 3, 525276, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 3, 526056, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 3, 527382, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 3, 531379, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 3, 532506, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 3, 534953, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 3, 537566, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 3, 538393, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 3, 539453, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 3, 540049, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 3, 541069, NO TRIGGER, 0
Schedule called, dict, 0, 0, 0, 3, 568844, dict.sendAnswers, 0
Schedule called, runner, 0, 0, 0, 3, 578674, runner.nextIteration, 0
Reaction starts, workers, 0, 0, 0, 4, 626510, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 4, 631424, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 4, 633774, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 4, 634597, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 4, 635224, NO TRIGGER, 0
