Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, arbitrator, 0, 0, 0, 0, 238480, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 0, 272864, runner.nextIteration, 0
Reaction ends, arbitrator, 0, 0, 0, 0, 278837, NO TRIGGER, 0
Reaction starts, runner, 1, 0, 0, 1, 282324, NO TRIGGER, 0
Reaction ends, runner, 1, 0, 0, 1, 282801, NO TRIGGER, 0
Reaction starts, philosophers, 0, 0, 0, 1, 305891, NO TRIGGER, 0
Reaction ends, philosophers, 0, 0, 0, 1, 306281, NO TRIGGER, 0
Reaction starts, philosophers, 0, 0, 0, 1, 311888, NO TRIGGER, 0
Reaction ends, philosophers, 0, 0, 0, 1, 312178, NO TRIGGER, 0
Reaction starts, philosophers, 0, 0, 0, 1, 312901, NO TRIGGER, 0
Reaction ends, philosophers, 0, 0, 0, 1, 313218, NO TRIGGER, 0
Reaction starts, philosophers, 0, 0, 0, 1, 313815, NO TRIGGER, 0
Reaction ends, philosophers, 0, 0, 0, 1, 314171, NO TRIGGER, 0
Reaction starts, philosophers, 0, 0, 0, 1, 314751, NO TRIGGER, 0
Reaction ends, philosophers, 0, 0, 0, 1, 315105, NO TRIGGER, 0
Reaction starts, philosophers, 0, 0, 0, 1, 315708, NO TRIGGER, 0
Reaction ends, philosophers, 0, 0, 0, 1, 316015, NO TRIGGER, 0
Reaction starts, philosophers, 0, 0, 0, 1, 316531, NO TRIGGER, 0
Reaction ends, philosophers, 0, 0, 0, 1, 316891, NO TRIGGER, 0
Reaction starts, arbitrator, 4, 0, 0, 1, 320715, NO TRIGGER, 0
Schedule called, arbitrator, 0, 0, 0, 1, 322085, arbitrator.send_replies, 0
Reaction ends, arbitrator, 4, 0, 0, 1, 322378, NO TRIGGER, 0
Reaction starts, arbitrator, 2, 0, 0, 2, 324218, NO TRIGGER, 0
Reaction ends, arbitrator, 2, 0, 0, 2, 325381, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 2, 343468, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 2, 343902, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 2, 344715, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 2, 344952, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 2, 345588, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 2, 346155, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 2, 346692, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 2, 347055, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 2, 347678, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 2, 348388, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 2, 348995, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 2, 349502, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 2, 368045, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 2, 368429, NO TRIGGER, 0
Reaction starts, arbitrator, 4, 0, 0, 2, 383276, NO TRIGGER, 0
Schedule called, arbitrator, 0, 0, 0, 2, 384306, arbitrator.send_replies, 0
Reaction ends, arbitrator, 4, 0, 0, 2, 384492, NO TRIGGER, 0
Reaction starts, arbitrator, 2, 0, 0, 3, 385929, NO TRIGGER, 0
Reaction ends, arbitrator, 2, 0, 0, 3, 386692, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 3, 398366, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 3, 398623, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 3, 399349, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 3, 399596, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 3, 400253, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 3, 400743, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 3, 404313, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 3, 405049, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 3, 407169, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 3, 407549, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 3, 433003, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 3, 433316, NO TRIGGER, 0
Schedule called, arbitrator, 0, 0, 0, 3, 438446, arbitrator.send_replies, 0
Reaction starts, philosophers, 2, 0, 0, 4, 489517, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 4, 489880, NO TRIGGER, 0
Schedule called, arbitrator, 0, 0, 0, 4, 494374, arbitrator.send_replies, 0
Reaction starts, philosophers, 1, 0, 0, 5, 523398, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 5, 524008, NO TRIGGER, 0
Reaction starts, arbitrator, 3, 0, 0, 5, 542255, NO TRIGGER, 0
Reaction ends, arbitrator, 3, 0, 0, 5, 542995, NO TRIGGER, 0
Schedule called, arbitrator, 0, 0, 0, 5, 550901, arbitrator.send_replies, 0
Reaction starts, philosophers, 1, 0, 0, 6, 577085, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 6, 577545, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 6, 578332, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 6, 579155, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 6, 583142, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 6, 583549, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 6, 599722, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 6, 599892, NO TRIGGER, 0
Reaction starts, arbitrator, 3, 0, 0, 6, 600242, NO TRIGGER, 0
Reaction ends, arbitrator, 3, 0, 0, 6, 600689, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 6, 601022, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 6, 601232, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 6, 604726, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 6, 605209, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 6, 605916, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 6, 606382, NO TRIGGER, 0
Schedule called, arbitrator, 0, 0, 0, 6, 610054, arbitrator.send_replies, 0
Reaction starts, philosophers, 1, 0, 0, 7, 631103, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 7, 631529, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 7, 647973, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 7, 648293, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 7, 648886, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 7, 649200, NO TRIGGER, 0
Schedule called, arbitrator, 0, 0, 0, 7, 675490, arbitrator.send_replies, 0
Reaction starts, philosophers, 1, 0, 0, 8, 708200, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 8, 708794, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 8, 709527, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 8, 710417, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 8, 724444, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 8, 724761, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 8, 725364, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 8, 725668, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 8, 726198, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 8, 726744, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 8, 727308, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 8, 727514, NO TRIGGER, 0
Schedule called, arbitrator, 0, 0, 0, 8, 739261, arbitrator.send_replies, 0
Reaction starts, philosophers, 1, 0, 0, 9, 763915, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 9, 764615, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 9, 765378, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 9, 765798, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 9, 766401, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 9, 767105, NO TRIGGER, 0
Reaction starts, philosophers, 1, 0, 0, 9, 767868, NO TRIGGER, 0
Reaction ends, philosophers, 1, 0, 0, 9, 768508, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 9, 784852, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 9, 785215, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 9, 788872, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 9, 789189, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 9, 789662, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 9, 789989, NO TRIGGER, 0
Schedule called, arbitrator, 0, 0, 0, 9, 793499, arbitrator.send_replies, 0
Reaction starts, philosophers, 2, 0, 0, 10, 824456, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 10, 824762, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 10, 825609, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 10, 826099, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 10, 826549, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 10, 827072, NO TRIGGER, 0
Reaction starts, philosophers, 2, 0, 0, 10, 827689, NO TRIGGER, 0
Reaction ends, philosophers, 2, 0, 0, 10, 828009, NO TRIGGER, 0
