Start time:, 1647331307195166870
End time:, 1647331308045577516
Total time:, 850410646

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
NO REACTOR, 1, 11832, 414525, 0.048744, 35, 92, 27
NO REACTOR, 2, 11832, 419736, 0.049357, 35, 94, 27
runner, 0, 1, 46468, 0.005464, 46468, 46468, 46468
runner, 1, 13, 1729, 0.000203, 133, 470, 89
runner, 2, 12, 40112, 0.004717, 3342, 11098, 1911
runner, 3, 1, 3847, 0.000452, 3847, 3847, 3847
factory, 0, 12, 5539, 0.000651, 461, 1203, 336
factory, 1, 24000, 198287891, 23.316723, 8261, 57338, 291
factory, 4, 24000, 924799, 0.108747, 38, 217, 27
room, 0, 12, 742, 0.000087, 61, 106, 49
room, 1, 24000, 2359483, 0.277452, 98, 42178, 69
room, 2, 24000, 1647240, 0.193699, 68, 493, 54
barber, 0, 12, 1216, 0.000143, 101, 257, 64
barber, 1, 24000, 1549390, 0.182193, 64, 10285, 49
barber, 2, 24000, 198392092, 23.328976, 8266, 74108, 290
customers, 2, 12, 1435, 0.000169, 119, 207, 48
customers, 3, 24000, 1088201, 0.127962, 45, 4985, 30
customers, 1, 12, 1020, 0.000120, 85, 140, 35
customers, 2, 12, 837, 0.000098, 69, 117, 34
customers, 1, 12, 842, 0.000099, 70, 117, 34
customers, 2, 12, 825, 0.000097, 68, 117, 34
customers, 1, 12, 817, 0.000096, 68, 116, 34
customers, 2, 12, 875, 0.000103, 72, 127, 38
customers, 1, 12, 922, 0.000108, 76, 137, 33
customers, 2, 12, 803, 0.000094, 66, 110, 33
customers, 1, 12, 806, 0.000095, 67, 110, 33
customers, 2, 12, 824, 0.000097, 68, 110, 35
customers, 1, 12, 810, 0.000095, 67, 110, 34
customers, 2, 12, 813, 0.000096, 67, 110, 35
customers, 1, 12, 835, 0.000098, 69, 114, 34
customers, 2, 12, 825, 0.000097, 68, 110, 35
customers, 1, 12, 818, 0.000096, 68, 107, 35
customers, 2, 12, 843, 0.000099, 70, 110, 34
customers, 1, 12, 817, 0.000096, 68, 110, 33
customers, 2, 12, 820, 0.000096, 68, 110, 28
customers, 1, 12, 817, 0.000096, 68, 110, 28
customers, 2, 12, 846, 0.000099, 70, 110, 36
customers, 1, 12, 836, 0.000098, 69, 110, 35
customers, 2, 12, 839, 0.000099, 69, 110, 35
customers, 1, 12, 838, 0.000099, 69, 110, 35
customers, 2, 12, 839, 0.000099, 69, 110, 36
customers, 1, 12, 898, 0.000106, 74, 116, 37
customers, 2, 12, 826, 0.000097, 68, 107, 30
customers, 1, 12, 841, 0.000099, 70, 110, 35
customers, 2, 12, 843, 0.000099, 70, 110, 36
customers, 1, 12, 836, 0.000098, 69, 110, 29
customers, 2, 12, 844, 0.000099, 70, 110, 35
customers, 1, 12, 833, 0.000098, 69, 110, 28
customers, 2, 12, 834, 0.000098, 69, 110, 29
customers, 1, 12, 870, 0.000102, 72, 140, 35
customers, 2, 12, 845, 0.000099, 70, 110, 34
customers, 1, 12, 826, 0.000097, 68, 107, 30
customers, 2, 12, 845, 0.000099, 70, 110, 28
customers, 1, 12, 846, 0.000099, 70, 107, 36
customers, 2, 12, 845, 0.000099, 70, 110, 36
customers, 1, 12, 827, 0.000097, 68, 110, 28
customers, 2, 12, 841, 0.000099, 70, 110, 36
customers, 1, 12, 834, 0.000098, 69, 113, 35
customers, 2, 12, 840, 0.000099, 70, 110, 35
customers, 1, 12, 857, 0.000101, 71, 110, 36
customers, 2, 12, 851, 0.000100, 70, 110, 36
customers, 1, 12, 847, 0.000100, 70, 110, 35
customers, 2, 12, 838, 0.000099, 69, 110, 35
customers, 1, 12, 841, 0.000099, 70, 110, 35
customers, 2, 12, 851, 0.000100, 70, 110, 36
customers, 1, 12, 833, 0.000098, 69, 110, 29
customers, 2, 12, 845, 0.000099, 70, 110, 36
customers, 1, 12, 856, 0.000101, 71, 126, 35
customers, 2, 12, 833, 0.000098, 69, 110, 28
customers, 1, 12, 847, 0.000100, 70, 113, 36
customers, 2, 12, 826, 0.000097, 68, 107, 29
customers, 1, 12, 828, 0.000097, 69, 107, 29
customers, 2, 12, 875, 0.000103, 72, 107, 35
customers, 1, 12, 862, 0.000101, 71, 143, 29
customers, 2, 12, 858, 0.000101, 71, 110, 28
customers, 1, 12, 854, 0.000100, 71, 110, 28
customers, 2, 12, 906, 0.000107, 75, 134, 36
customers, 1, 12, 858, 0.000101, 71, 107, 36
customers, 2, 12, 875, 0.000103, 72, 110, 36
customers, 1, 12, 860, 0.000101, 71, 110, 35
customers, 2, 12, 857, 0.000101, 71, 110, 29
customers, 1, 12, 844, 0.000099, 70, 107, 28
customers, 2, 12, 866, 0.000102, 72, 110, 29
customers, 1, 12, 865, 0.000102, 72, 110, 36
customers, 2, 12, 870, 0.000102, 72, 110, 36
customers, 1, 12, 877, 0.000103, 73, 130, 29
customers, 2, 12, 883, 0.000104, 73, 113, 35
customers, 1, 12, 842, 0.000099, 70, 113, 36
customers, 2, 12, 839, 0.000099, 69, 107, 36
customers, 1, 12, 836, 0.000098, 69, 107, 35
customers, 2, 12, 842, 0.000099, 70, 110, 29
customers, 1, 12, 827, 0.000097, 68, 107, 35
customers, 2, 12, 862, 0.000101, 71, 124, 36
customers, 1, 12, 840, 0.000099, 70, 110, 34
customers, 2, 12, 904, 0.000106, 75, 133, 35
customers, 1, 12, 901, 0.000106, 75, 124, 28
customers, 2, 12, 875, 0.000103, 72, 110, 29
customers, 1, 12, 899, 0.000106, 74, 156, 35
customers, 2, 12, 836, 0.000098, 69, 117, 29
customers, 1, 12, 838, 0.000099, 69, 110, 28
customers, 2, 12, 865, 0.000102, 72, 113, 36
customers, 1, 12, 863, 0.000101, 71, 110, 35
customers, 2, 12, 853, 0.000100, 71, 110, 28
customers, 1, 12, 848, 0.000100, 70, 110, 36
customers, 2, 12, 857, 0.000101, 71, 110, 29
