Start time:, 1647417682933731222
End time:, 1647417682938834317
Total time:, 5103095

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
runner, 0, 1, 20367, 0.399111, 20367, 20367, 20367
runner, 1, 13, 4923, 0.096471, 378, 884, 150
runner, 2, 12, 77114, 1.511122, 6426, 24537, 2197
runner, 3, 1, 6397, 0.125355, 6397, 6397, 6397
factory, 0, 12, 14988, 0.293704, 1249, 2130, 599
factory, 1, 30, 1237606, 24.252067, 41253, 67181, 2730
factory, 4, 22, 7521, 0.147381, 341, 847, 145
room, 0, 12, 2507, 0.049127, 208, 350, 73
room, 1, 30, 16120, 0.315887, 537, 1153, 183
room, 2, 22, 8120, 0.159119, 369, 1034, 104
barber, 0, 12, 2239, 0.043875, 186, 367, 80
barber, 1, 22, 7283, 0.142717, 331, 463, 186
barber, 2, 30, 1347304, 26.401703, 44910, 107179, 2820
customers, 2, 12, 2641, 0.051753, 220, 737, 80
customers, 3, 22, 5682, 0.111344, 258, 760, 107
customers, 1, 8, 1122, 0.021987, 140, 203, 106
customers, 2, 8, 1557, 0.030511, 194, 727, 80
customers, 1, 1, 197, 0.003860, 197, 197, 197
customers, 2, 1, 156, 0.003057, 156, 156, 156
customers, 1, 1, 190, 0.003723, 190, 190, 190
customers, 2, 1, 187, 0.003664, 187, 187, 187
customers, 1, 1, 200, 0.003919, 200, 200, 200
customers, 2, 1, 184, 0.003606, 184, 184, 184
customers, 1, 1, 160, 0.003135, 160, 160, 160
customers, 2, 1, 197, 0.003860, 197, 197, 197
customers, 1, 1, 174, 0.003410, 174, 174, 174
customers, 2, 1, 177, 0.003468, 177, 177, 177
customers, 1, 1, 206, 0.004037, 206, 206, 206
customers, 2, 1, 160, 0.003135, 160, 160, 160
customers, 1, 1, 190, 0.003723, 190, 190, 190
customers, 2, 1, 203, 0.003978, 203, 203, 203
customers, 1, 1, 196, 0.003841, 196, 196, 196
customers, 2, 1, 160, 0.003135, 160, 160, 160
customers, 1, 1, 204, 0.003998, 204, 204, 204
customers, 2, 1, 187, 0.003664, 187, 187, 187
customers, 1, 1, 160, 0.003135, 160, 160, 160
customers, 2, 1, 220, 0.004311, 220, 220, 220

Schedule calls
Trigger, Occurrences
runner.nextIteration, 13
runner.done, 1
factory.createNextCustomer, 42
barber.done, 30
