Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, runner, 0, 0, 0, 0, 230794, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 0, 300652, runner.nextIteration, 0
Reaction ends, runner, 0, 0, 0, 0, 301299, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 1, 339689, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 1, 340292, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 1, 341322, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 1, 341582, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 1, 342206, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 1, 342436, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 1, 346356, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 1, 346742, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 1, 347702, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 1, 348542, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 1, 350799, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 1, 351183, NO TRIGGER, 0
Schedule called, sorted_list, 0, 0, 0, 1, 353177, sorted_list.send_responses, 0
Reaction starts, workers, 0, 0, 0, 2, 371940, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 2, 372316, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 2, 373053, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 2, 373516, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 2, 373993, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 2, 374616, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 2, 379006, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 2, 379383, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 2, 380173, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 2, 380550, NO TRIGGER, 0
Schedule called, sorted_list, 0, 0, 0, 2, 383686, sorted_list.send_responses, 0
Reaction starts, workers, 0, 0, 0, 3, 460101, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 3, 460614, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 3, 462714, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 3, 463284, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 3, 463974, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 3, 464621, NO TRIGGER, 0
Schedule called, sorted_list, 0, 0, 0, 3, 467882, sorted_list.send_responses, 0
Reaction starts, workers, 0, 0, 0, 4, 513012, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 4, 513558, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 4, 515885, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 4, 516235, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 4, 516942, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 4, 517782, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 4, 518475, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 4, 519055, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 4, 521618, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 4, 522138, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 4, 522775, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 4, 523252, NO TRIGGER, 0
Schedule called, sorted_list, 0, 0, 0, 4, 525415, sorted_list.send_responses, 0
Reaction starts, workers, 0, 0, 0, 5, 546229, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 5, 546606, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 5, 547102, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 5, 547359, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 5, 547822, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 5, 548319, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 5, 548939, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 5, 549626, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 5, 550332, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 5, 550859, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 5, 551839, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 5, 552209, NO TRIGGER, 0
Schedule called, sorted_list, 0, 0, 0, 5, 561320, sorted_list.send_responses, 0
Reaction starts, workers, 0, 0, 0, 6, 586863, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 6, 587216, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 6, 587896, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 6, 588496, NO TRIGGER, 0
Schedule called, sorted_list, 0, 0, 0, 6, 596883, sorted_list.send_responses, 0
Reaction starts, workers, 0, 0, 0, 7, 615270, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 7, 615647, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 7, 616200, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 7, 616617, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 7, 617310, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 7, 617663, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 7, 618247, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 7, 618940, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 7, 628604, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 7, 628974, NO TRIGGER, 0
Schedule called, sorted_list, 0, 0, 0, 7, 632924, sorted_list.send_responses, 0
Reaction starts, workers, 0, 0, 0, 8, 651084, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 8, 651450, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 8, 653974, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 8, 654374, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 8, 656474, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 8, 656904, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 8, 657370, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 8, 657947, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 8, 660101, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 8, 660547, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 8, 661114, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 8, 661507, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 8, 661871, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 8, 662181, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 8, 662637, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 8, 662934, NO TRIGGER, 0
Schedule called, sorted_list, 0, 0, 0, 8, 668985, sorted_list.send_responses, 0
Reaction starts, workers, 0, 0, 0, 9, 684824, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 9, 685261, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 9, 687601, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 9, 688081, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 9, 690618, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 9, 690961, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 9, 691505, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 9, 691875, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 9, 692485, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 9, 692841, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 9, 693281, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 9, 693589, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 9, 694335, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 9, 694885, NO TRIGGER, 0
Reaction starts, workers, 0, 0, 0, 9, 695515, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 9, 696035, NO TRIGGER, 0
Schedule called, sorted_list, 0, 0, 0, 9, 699548, sorted_list.send_responses, 0
Reaction starts, workers, 0, 0, 0, 10, 723635, NO TRIGGER, 0
Reaction ends, workers, 0, 0, 0, 10, 724378, NO TRIGGER, 0
Schedule called, sorted_list, 0, 0, 0, 10, 728805, sorted_list.send_responses, 0
Reaction starts, workers, 0, 0, 0, 11, 750652, NO TRIGGER, 0
