Start time:, 1647417079061800637
End time:, 1647417079065630150
Total time:, 3829513

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
manager, 0, 12, 1867, 0.048753, 155, 207, 103
manager, 1, 39, 22034, 0.575373, 564, 3187, 158
manager, 2, 12, 1511, 0.039457, 125, 157, 98
workers, 0, 87, 33737, 0.880974, 387, 1104, 132
workers, 0, 87, 47119, 1.230418, 541, 7960, 102
workers, 0, 87, 42020, 1.097267, 482, 979, 118
workers, 0, 87, 45183, 1.179863, 519, 1010, 116
workers, 0, 87, 52000, 1.357875, 597, 4250, 116
workers, 0, 87, 47573, 1.242273, 546, 1077, 99
workers, 0, 87, 44502, 1.162080, 511, 1210, 100
workers, 0, 87, 46692, 1.219267, 536, 1150, 100
workers, 0, 87, 46725, 1.220129, 537, 1040, 102
workers, 0, 87, 45144, 1.178844, 518, 1193, 94
workers, 0, 87, 44389, 1.159129, 510, 1034, 108
workers, 0, 87, 47303, 1.235222, 543, 1360, 107
workers, 0, 87, 47777, 1.247600, 549, 4187, 117
workers, 0, 87, 45611, 1.191039, 524, 1380, 140
workers, 0, 87, 48462, 1.265487, 557, 4844, 158
workers, 0, 87, 41393, 1.080895, 475, 1197, 94
workers, 0, 87, 37870, 0.988899, 435, 1023, 98
workers, 0, 87, 38904, 1.015899, 447, 4197, 99
workers, 0, 87, 30815, 0.804672, 354, 940, 98
workers, 0, 87, 27370, 0.714712, 314, 890, 98
runner, 0, 1, 70505, 1.841096, 70505, 70505, 70505
runner, 1, 13, 4022, 0.105026, 309, 431, 193
runner, 2, 12, 48236, 1.259586, 4019, 14632, 1723
runner, 3, 1, 7357, 0.192113, 7357, 7357, 7357
sorted_list, 0, 1, 78778, 2.057128, 78778, 78778, 78778
sorted_list, 1, 12, 59935, 1.565082, 4994, 13890, 1479
sorted_list, 2, 86, 55476, 1.448644, 645, 1237, 325
sorted_list, 3, 87, 373055, 9.741578, 4287, 45997, 984
sorted_list, 4, 1, 324, 0.008461, 324, 324, 324

Schedule calls
Trigger, Occurrences
manager.finish, 12
runner.nextIteration, 13
runner.done, 1
sorted_list.send_responses, 87
