Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, Big, 0, 0, 0, 0, 457641, NO TRIGGER, 0
Reaction ends, Big, 0, 0, 0, 0, 461349, NO TRIGGER, 0
Reaction starts, runner, 0, 0, 0, 0, 461744, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 0, 503099, runner.nextIteration, 0
Reaction ends, runner, 0, 0, 0, 0, 509719, NO TRIGGER, 0
Schedule called, worker, 0, 0, 0, 1, 671425, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 690186, worker.next, 0
Reaction starts, worker, 3, 0, 0, 1, 692705, NO TRIGGER, 0
Schedule called, worker, 0, 0, 0, 1, 694650, worker.next, 0
Reaction ends, worker, 3, 0, 0, 1, 703068, NO TRIGGER, 0
Reaction starts, worker, 3, 0, 0, 1, 703660, NO TRIGGER, 0
Schedule called, worker, 0, 0, 0, 1, 730803, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 772280, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 786852, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 790031, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 790522, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 790886, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 791291, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 792497, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 792926, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 824941, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 833080, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 836604, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 850539, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 853887, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 854554, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 855198, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 855820, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 884788, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 893373, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 899578, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 900918, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 974293, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 981886, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 991963, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 997320, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 999060, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 1004557, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 1006270, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 1038968, worker.next, 0
