Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, Big, 0, 0, 0, 0, 137810, NO TRIGGER, 0
Reaction ends, Big, 0, 0, 0, 0, 141315, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 0, 177054, runner.nextIteration, 0
Reaction starts, worker, 3, 0, 0, 1, 221942, NO TRIGGER, 0
Schedule called, worker, 0, 0, 0, 1, 222788, worker.next, 0
Reaction ends, worker, 3, 0, 0, 1, 224528, NO TRIGGER, 0
Reaction starts, worker, 3, 0, 0, 1, 224942, NO TRIGGER, 0
Schedule called, worker, 0, 0, 0, 1, 225248, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 254262, worker.next, 0
Reaction ends, worker, 3, 0, 0, 1, 260446, NO TRIGGER, 0
Reaction starts, worker, 3, 0, 0, 1, 260902, NO TRIGGER, 0
Schedule called, worker, 0, 0, 0, 1, 261569, worker.next, 0
Reaction ends, worker, 3, 0, 0, 1, 261712, NO TRIGGER, 0
Reaction starts, worker, 3, 0, 0, 1, 262029, NO TRIGGER, 0
Schedule called, worker, 0, 0, 0, 1, 262494, worker.next, 0
Reaction ends, worker, 3, 0, 0, 1, 262632, NO TRIGGER, 0
Reaction starts, worker, 3, 0, 0, 1, 262914, NO TRIGGER, 0
Schedule called, worker, 0, 0, 0, 1, 263417, worker.next, 0
Reaction ends, worker, 3, 0, 0, 1, 263520, NO TRIGGER, 0
Reaction starts, worker, 3, 0, 0, 1, 263826, NO TRIGGER, 0
Schedule called, worker, 0, 0, 0, 1, 264289, worker.next, 0
Reaction ends, worker, 3, 0, 0, 1, 267737, NO TRIGGER, 0
Reaction starts, worker, 3, 0, 0, 1, 268040, NO TRIGGER, 0
Schedule called, worker, 0, 0, 0, 1, 293939, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 302806, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 304053, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 308033, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 313450, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 314647, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 315780, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 320440, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 325060, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 326383, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 327680, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 331910, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 334220, worker.next, 0
Schedule called, worker, 0, 0, 0, 1, 341893, worker.next, 0
Reaction ends, worker, 3, 0, 0, 1, 345923, NO TRIGGER, 0
Reaction starts, worker, 3, 0, 0, 1, 346318, NO TRIGGER, 0
Schedule called, worker, 0, 0, 0, 1, 348470, worker.next, 0
Reaction ends, worker, 3, 0, 0, 1, 348604, NO TRIGGER, 0
Reaction starts, worker, 3, 0, 0, 1, 348913, NO TRIGGER, 0
Schedule called, worker, 0, 0, 0, 1, 349881, worker.next, 0
