Start time:, 1647416506286884927
End time:, 1647416506304101572
Total time:, 17216645

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
NO REACTOR, 0, 1, 3505, 0.020358, 3505, 3505, 3505
runner, 0, 1, 38784, 0.225270, 38784, 38784, 38784
runner, 1, 13, 6789, 0.039433, 522, 2924, 200
runner, 2, 12, 102797, 0.597079, 8566, 26144, 3053
runner, 3, 1, 4056, 0.023559, 4056, 4056, 4056
sink, 0, 12, 1556, 0.009038, 129, 177, 55
sink, 1, 15, 11549, 0.067080, 769, 1170, 467
worker, 0, 16, 4492, 0.026091, 280, 403, 161
worker, 2, 16, 184493, 1.071597, 11530, 58711, 2570
worker, 3, 12, 261791, 1.520569, 21815, 77375, 4948
worker, 0, 16, 4717, 0.027398, 294, 436, 174
worker, 1, 2, 1234, 0.007167, 617, 874, 360
worker, 2, 16, 217459, 1.263074, 13591, 56113, 3093
worker, 3, 12, 471673, 2.739634, 39306, 163226, 6346
worker, 0, 16, 4580, 0.026602, 286, 443, 155
worker, 1, 16, 8948, 0.051973, 559, 924, 237
worker, 2, 16, 1647416506288337453, 9568742959434.531250, 102963531643021090, 1647416506288084567, 3264
worker, 3, 12, 287320, 1.668850, 23943, 91279, 3374
worker, 0, 16, 5190, 0.030145, 324, 627, 156
worker, 1, 16, 8318, 0.048314, 519, 1007, 241
worker, 2, 16, 184543, 1.071887, 11533, 33368, 699
worker, 3, 12, 297070, 1.725481, 24755, 75608, 654
worker, 0, 16, 4884, 0.028368, 305, 540, 159
worker, 1, 14, 8404, 0.048813, 600, 1106, 279
worker, 2, 16, 149547, 0.868619, 9346, 65831, 1026
worker, 3, 12, 161260, 0.936652, 13438, 82718, 1294
worker, 0, 16, 4522, 0.026265, 282, 476, 151
worker, 1, 16, 9518, 0.055284, 594, 990, 304
worker, 2, 16, 218750, 1.270573, 13671, 49334, 947
worker, 3, 12, 118904, 0.690634, 9908, 62920, 810
worker, 0, 16, 4932, 0.028647, 308, 540, 159
worker, 1, 14, 7559, 0.043905, 539, 903, 225
worker, 2, 16, 259021, 1.504480, 16188, 83895, 651
worker, 3, 12, 158944, 0.923200, 13245, 49284, 412
worker, 0, 16, 6363, 0.036958, 397, 2052, 167
worker, 1, 14, 9680, 0.056225, 691, 1140, 355
worker, 2, 16, 133626, 0.776144, 8351, 32907, 889
worker, 3, 12, 99452, 0.577650, 8287, 28050, 606
worker, 0, 16, 4446, 0.025824, 277, 357, 163
worker, 1, 14, 10717, 0.062248, 765, 1003, 442
worker, 2, 16, 1647416506289191126, 9568742959439.492188, 102963531643074445, 1647416506289061515, 1256
worker, 3, 12, 148952, 0.865163, 12412, 62975, 1060
worker, 0, 16, 4206, 0.024430, 262, 400, 122
worker, 1, 2, 1206, 0.007005, 603, 846, 360
worker, 2, 16, 238968, 1.388006, 14935, 70401, 1374
worker, 3, 12, 152589, 0.886288, 12715, 77883, 1063
worker, 0, 16, 4369, 0.025377, 273, 370, 94
worker, 1, 2, 1283, 0.007452, 641, 853, 430
worker, 2, 16, 1647416506289235151, 9568742959439.746094, 102963531643077196, 1647416506289133813, 910
worker, 3, 12, 84659, 0.491728, 7054, 37364, 613
worker, 0, 16, 4168, 0.024209, 260, 407, 160
worker, 1, 2, 840, 0.004879, 420, 563, 277
worker, 2, 16, 137577, 0.799093, 8598, 37371, 687
worker, 3, 12, 159438, 0.926069, 13286, 104595, 401
worker, 0, 16, 5143, 0.029872, 321, 516, 125
worker, 1, 2, 1091, 0.006337, 545, 807, 284
worker, 2, 16, 159939, 0.928979, 9996, 34135, 977
worker, 3, 12, 131710, 0.765015, 10975, 31970, 1787
worker, 0, 16, 4691, 0.027247, 293, 463, 131
worker, 1, 14, 7940, 0.046118, 567, 834, 288
worker, 2, 16, 290748, 1.688761, 18171, 76238, 1680
worker, 3, 12, 162863, 0.945962, 13571, 36814, 1073
worker, 0, 16, 5277, 0.030651, 329, 504, 190
worker, 1, 14, 9079, 0.052734, 648, 1006, 289
worker, 2, 16, 203367, 1.181223, 12710, 85441, 2413
worker, 3, 12, 194952, 1.132346, 16246, 99932, 864
worker, 0, 16, 4473, 0.025981, 279, 537, 155
worker, 1, 14, 9054, 0.052589, 646, 1140, 315
worker, 2, 16, 183152, 1.063808, 11447, 67499, 695
worker, 3, 12, 130348, 0.757105, 10862, 82780, 475
worker, 0, 16, 4996, 0.029018, 312, 510, 130
worker, 1, 14, 9515, 0.055266, 679, 963, 258
worker, 2, 16, 313964, 1.823607, 19622, 159223, 832
worker, 3, 12, 38170, 0.221704, 3180, 5660, 716
worker, 0, 16, 4667, 0.027107, 291, 460, 151
worker, 1, 14, 7244, 0.042076, 517, 1054, 252
worker, 2, 16, 111503, 0.647647, 6968, 15972, 1653
worker, 3, 12, 200853, 1.166621, 16737, 90781, 950
worker, 0, 16, 4721, 0.027421, 295, 550, 164
worker, 1, 14, 9900, 0.057502, 707, 2315, 275
worker, 2, 16, 164465, 0.955267, 10279, 47069, 763
worker, 3, 12, 248362, 1.442569, 20696, 108911, 530
worker, 0, 16, 4482, 0.026033, 280, 456, 138
worker, 1, 16, 9789, 0.056858, 611, 1120, 261
worker, 2, 16, 184270, 1.070301, 11516, 34309, 1637
worker, 3, 12, 35043, 0.203541, 2920, 17142, 374
worker, 0, 16, 4573, 0.026562, 285, 540, 114
worker, 1, 4, 2544, 0.014776, 636, 870, 281
worker, 2, 16, 122353, 0.710667, 7647, 26258, 833
worker, 3, 12, 119267, 0.692742, 9938, 34563, 552
worker, 0, 16, 4561, 0.026492, 285, 493, 160
