Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, runner, 1, 23, 0, 1, 1341914, NO TRIGGER, 0
Reaction ends, runner, 1, 23, 0, 1, 1342317, NO TRIGGER, 0
Reaction starts, init, 0, 23, 0, 1, 1342801, NO TRIGGER, 0
Reaction ends, init, 0, 23, 0, 1, 1343047, NO TRIGGER, 0
Reaction starts, loopOpener, 2, 23, 0, 1, 1345277, NO TRIGGER, 0
Reaction ends, loopOpener, 2, 23, 0, 1, 1348994, NO TRIGGER, 0
Reaction starts, loopOpener, 0, 23, 0, 2, 1350494, NO TRIGGER, 0
Reaction ends, loopOpener, 0, 23, 0, 2, 1350691, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1351008, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1351364, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1351951, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1352221, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1352764, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1352938, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1353438, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1353648, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1354088, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1354261, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1354714, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1354884, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1355308, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1355481, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1355908, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1356091, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1356484, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1356661, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1357084, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1357258, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1357751, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1357928, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1358318, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1358501, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1358964, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1359138, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1359601, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1359771, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1360201, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1360364, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1360801, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1360978, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1361421, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1361591, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1362011, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1362184, NO TRIGGER, 0
Reaction starts, workers, 0, 23, 0, 2, 1362568, NO TRIGGER, 0
Reaction ends, workers, 0, 23, 0, 2, 1362731, NO TRIGGER, 0
