Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, Throughput, 0, 0, 0, 0, 247304, NO TRIGGER, 0
Reaction ends, Throughput, 0, 0, 0, 0, 251237, NO TRIGGER, 0
Schedule called, runner, 0, 0, 0, 0, 284212, runner.nextIteration, 0
Schedule called, producer, 0, 0, 0, 1, 290241, producer.send_next_msg, 0
Reaction starts, worker, 0, 0, 0, 1, 321945, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 322142, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 322745, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 322842, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 325945, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 326065, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 326575, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 326668, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 326945, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 327035, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 327432, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 327575, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 329402, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 329525, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 331862, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 331992, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 333795, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 334015, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 337479, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 337602, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 338209, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 338332, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 339005, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 339129, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 339645, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 339789, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 340399, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 340652, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 341125, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 341252, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 1, 351645, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 1, 351772, NO TRIGGER, 0
Schedule called, producer, 0, 0, 0, 2, 366193, producer.send_next_msg, 0
Reaction starts, worker, 0, 0, 0, 2, 389999, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 2, 390123, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 2, 390806, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 2, 390923, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 2, 393083, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 2, 393213, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 2, 395743, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 2, 395866, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 2, 397863, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 2, 397983, NO TRIGGER, 0
Reaction starts, worker, 0, 0, 0, 2, 398573, NO TRIGGER, 0
Reaction ends, worker, 0, 0, 0, 2, 398690, NO TRIGGER, 0
