Start time:, 1647419468777037363
End time:, 1647419468779930054
Total time:, 2892691

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
NO REACTOR, 0, 1, 3933, 0.135963, 3933, 3933, 3933
runner, 0, 1, 37954, 1.312065, 37954, 37954, 37954
runner, 1, 15, 4987, 0.172400, 332, 940, 146
runner, 2, 15, 112998, 3.906328, 7533, 46187, 1315
runner, 3, 2, 46994, 1.624577, 23497, 40784, 6210
producer, 0, 57, 40798, 1.410382, 715, 8841, 223
worker, 0, 46, 6115, 0.211395, 132, 254, 57
worker, 0, 46, 4752, 0.164276, 103, 283, 67
worker, 0, 46, 1647419468779691016, 56951104310128.218750, 35813466712601978, 1647419468779685943, 65
worker, 0, 46, 1647419468779314038, 56951104310115.179688, 35813466712593783, 1647419468779309441, -610
worker, 0, 46, 6414, 0.221731, 139, 340, 57
worker, 0, 46, 6180, 0.213642, 134, 403, 56
worker, 0, 46, 6146, 0.212467, 133, 366, 56
worker, 0, 45, 5637, 0.194870, 125, 336, 54
worker, 0, 46, 6476, 0.223875, 140, 306, 68
worker, 0, 46, 5862, 0.202649, 127, 302, 56
worker, 0, 46, 5940, 0.205345, 129, 315, 56
worker, 0, 46, 4889, 0.169012, 106, 268, 54
worker, 0, 46, 5622, 0.194352, 122, 326, 56
worker, 0, 46, 5594, 0.193384, 121, 300, 56
worker, 0, 46, 6380, 0.220556, 138, 548, 56
worker, 0, 46, 10044, 0.347220, 218, 3807, 54
worker, 0, 46, 5490, 0.189789, 119, 248, 54
worker, 0, 46, 5662, 0.195735, 123, 342, 57
worker, 0, 46, 6217, 0.214921, 135, 325, 54
worker, 0, 46, 10752, 0.371695, 233, 3923, 56
worker, 0, 46, 5863, 0.202683, 127, 304, 56
worker, 0, 46, 5984, 0.206866, 130, 612, 59
worker, 0, 46, 5539, 0.191483, 120, 511, 54
worker, 0, 46, 5614, 0.194075, 122, 326, 57
worker, 0, 46, 6300, 0.217790, 136, 533, 57
worker, 0, 46, 6416, 0.221800, 139, 294, 56
worker, 0, 46, 5923, 0.204757, 128, 560, 57
worker, 0, 46, 5990, 0.207074, 130, 357, 54
worker, 0, 46, 6045, 0.208975, 131, 470, 57
worker, 0, 46, 6791, 0.234764, 147, 708, 56
worker, 0, 46, 6541, 0.226122, 142, 584, 56
worker, 0, 46, 6655, 0.230063, 144, 655, 59
worker, 0, 46, 6084, 0.210323, 132, 323, 56
worker, 0, 46, 15557, 0.537804, 338, 8963, 68
worker, 0, 46, 5398, 0.186608, 117, 254, 57
worker, 0, 46, 6084, 0.210323, 132, 610, 57
worker, 0, 46, 6047, 0.209044, 131, 364, 56
worker, 0, 46, 6261, 0.216442, 136, 725, 54
worker, 0, 46, 9866, 0.341067, 214, 3943, 57
worker, 0, 46, 5997, 0.207316, 130, 268, 65
worker, 0, 46, 6045, 0.208975, 131, 589, 68
worker, 0, 46, 5644, 0.195112, 122, 250, 67
worker, 0, 46, 9196, 0.317905, 199, 3787, 65
worker, 0, 46, 6070, 0.209839, 131, 670, 56
worker, 0, 46, 5892, 0.203686, 128, 254, 68
worker, 0, 46, 13116, 0.453419, 285, 3826, 68
worker, 0, 46, 9724, 0.336158, 211, 4493, 59
worker, 0, 46, 9664, 0.334083, 210, 3817, 68
worker, 0, 46, 5668, 0.195942, 123, 247, 54
worker, 0, 46, 6453, 0.223079, 140, 525, 54
worker, 0, 46, 5577, 0.192796, 121, 297, 56
worker, 0, 46, 5804, 0.200644, 126, 303, 54
worker, 0, 46, 6091, 0.210565, 132, 337, 57
worker, 0, 46, 5739, 0.198397, 124, 339, 56
worker, 0, 46, 5148, 0.177966, 111, 278, 54
worker, 0, 46, 5804, 0.200644, 126, 275, 57
worker, 0, 46, 5376, 0.185848, 116, 268, 56
worker, 0, 46, 9861, 0.340894, 214, 3866, 56
worker, 0, 46, 5549, 0.191828, 120, 235, 56
worker, 0, 46, 6497, 0.224601, 141, 591, 57

Schedule calls
Trigger, Occurrences
runner.nextIteration, 15
runner.done, 3
producer.send_next_msg, 33
